Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-1-negctrl-c1-w25-3d6_S13_	p	NA	NA	NA	NA	NA	NA	NA	NA	NA	>=2	NA	NA	NA
blm-1-negctrl-c5-w25-3d6_S125_	p	4718	4320	18.80%	0.00%	0.00%	0	78.30%	36.00%	153	>=2	0.00%	0.00%	0
blm-1-negctrl-c9-w25-3d6_S321_	p	1992	1846	26.00%	0.00%	0.00%	0	47.80%	38.00%	149	NA	0.00%	0.00%	0
blm-1-single-c1-w11-3d6_S6_	p	103369	94036	4.40%	0.20%	2.20%	14	11.40%	49.00%	148	>=2	0.00%	0.20%	0
blm-1-single-c1-w13-3d6_S7_	d	19977	17884	6.20%	0.00%	4.20%	2	14.30%	48.00%	148	>=2	0.00%	0.00%	0
blm-1-single-c1-w1-3d6_S1_	p	18029	16224	4.80%	0.00%	3.50%	2	4.30%	53.00%	146	>=2	0.00%	0.10%	0
blm-1-single-c1-w15-3d6_S8_	d	15464	13650	5.30%	0.00%	3.30%	2	8.30%	53.00%	146	>=2	0.00%	0.10%	0
blm-1-single-c1-w17-3d6_S9_	d	16691	14996	3.60%	0.00%	2.70%	2	16.00%	49.00%	147	NA	0.00%	0.00%	0
blm-1-single-c1-w19-3d6_S10_	p	79254	71286	5.90%	0.20%	2.80%	10	6.90%	50.00%	147	>=2	0.00%	0.20%	0
blm-1-single-c1-w21-3d6_S11_	p	71086	64382	4.80%	0.10%	2.30%	10	7.10%	48.00%	148	0.39	0.00%	0.20%	0
blm-1-single-c1-w23-3d6_S12_	d	13957	12334	5.10%	0.00%	2.60%	2	8.00%	51.00%	149	>=2	0.00%	0.00%	0
blm-1-single-c1-w27-3d6_S14_	p	13653	12086	5.20%	0.00%	7.00%	1	8.00%	52.00%	148	>=2	0.00%	0.00%	0
blm-1-single-c1-w29-3d6_S15_	d	19811	17870	3.90%	0.00%	2.80%	2	14.80%	49.00%	149	>=2	0.00%	0.10%	0
blm-1-single-c1-w31-3d6_S16_	d	21922	19578	6.00%	0.00%	2.50%	3	4.20%	50.00%	146	>=2	0.00%	0.10%	0
blm-1-single-c1-w33-3d6_S17_	p	18985	16886	5.10%	0.00%	40.80%	2	41.70%	56.00%	147	>=2	0.00%	0.10%	0
blm-1-single-c1-w3-3d6_S2_	d	22556	20312	5.30%	0.00%	4.70%	3	3.80%	51.00%	150	>=2	0.00%	0.10%	0
blm-1-single-c1-w35-3d6_S18_	p	60201	53554	5.30%	0.10%	2.20%	8	25.90%	48.00%	146	>=2	0.00%	0.30%	0
blm-1-single-c1-w37-3d6_S19_	d	15834	14214	5.00%	0.00%	2.50%	2	8.30%	51.00%	146	>=2	0.00%	0.10%	0
blm-1-single-c1-w39-3d6_S20_	p	74091	66948	4.70%	0.20%	8.30%	9	13.80%	50.00%	147	>=2	0.00%	0.40%	0
blm-1-single-c1-w43-3d6_S22_	p	14908	13432	4.50%	0.00%	28.20%	2	16.00%	51.00%	147	>=2	0.00%	0.00%	0
blm-1-single-c1-w45-3d6_S23_	p	9511	8438	5.00%	0.00%	4.80%	1	17.40%	49.00%	147	NA	0.00%	0.10%	0
blm-1-single-c1-w47-3d6_S24_	d	32754	29156	3.60%	0.10%	3.00%	4	17.20%	50.00%	147	>=2	0.00%	0.10%	0
blm-1-single-c1-w49-3d6_S25_	p	6356	5752	5.40%	0.00%	3.30%	1	4.30%	49.00%	148	>=2	0.00%	0.00%	0
blm-1-single-c1-w5-3d6_S3_	d	18535	16488	4.60%	0.00%	3.70%	2	4.20%	51.00%	147	>=2	0.00%	0.10%	0
blm-1-single-c1-w7-3d6_S4_	d	29782	26924	7.80%	0.10%	3.90%	3	14.80%	56.00%	148	NA	0.00%	0.10%	0
blm-1-single-c1-w9-3d6_S5_	d	49151	44250	4.40%	0.10%	2.60%	6	16.70%	51.00%	147	>=2	0.00%	0.10%	0
blm-1-single-c5-w10-3d6_S110_	p	314550	274900	15.90%	0.50%	15.10%	30	38.90%	51.00%	147	>=2	0.00%	0.90%	0
blm-1-single-c5-w11-3d6_S111_	g	384970	333782	18.40%	0.60%	2.60%	41	13.20%	50.00%	147	>=2	0.00%	0.80%	0
blm-1-single-c5-w12-3d6_S112_	p	592393	524192	21.20%	1.00%	20.60%	53	28.20%	51.00%	147	NA	0.00%	0.60%	0
blm-1-single-c5-w13-3d6_S113_	p	507667	444990	19.90%	0.90%	0.00%	53	100.00%	51.00%	147	>=2	0.00%	0.90%	0.147452
blm-1-single-c5-w1-3d6_S101_	p	102848	90610	14.10%	0.20%	3.10%	12	10.00%	51.00%	148	>=2	0.00%	0.20%	0
blm-1-single-c5-w14-3d6_S114_	p	1096974	980374	22.30%	1.80%	12.30%	109	25.50%	50.00%	147	NA	0.00%	1.30%	0
blm-1-single-c5-w16-3d6_S116_	g	339561	298630	14.20%	0.60%	10.70%	38	9.80%	51.00%	147	NA	0.00%	0.80%	0
blm-1-single-c5-w18-3d6_S118_	g	333088	287728	17.40%	0.60%	3.70%	35	10.50%	51.00%	147	>=2	0.00%	0.60%	0
blm-1-single-c5-w19-3d6_S119_	g	421419	364070	19.90%	0.70%	2.40%	43	14.70%	51.00%	148	NA	0.00%	0.70%	0
blm-1-single-c5-w21-3d6_S121_	g	414979	364242	15.10%	0.70%	2.00%	47	12.20%	50.00%	147	NA	0.00%	0.60%	0.180905
blm-1-single-c5-w22-3d6_S122_	g	412746	360040	17.60%	0.70%	2.20%	45	14.70%	50.00%	148	>=2	0.00%	0.60%	0
blm-1-single-c5-w23-3d6_S123_	g	222241	194430	14.20%	0.40%	2.80%	24	7.10%	52.00%	148	NA	0.00%	0.40%	0
blm-1-single-c5-w2-3d6_S102_	p	2996	2720	16.80%	0.00%	0.00%	0	52.20%	36.00%	151	>=2	0.00%	0.00%	0
blm-1-single-c5-w24-3d6_S124_	g	188522	163674	14.00%	0.30%	2.30%	21	6.30%	50.00%	148	NA	0.00%	0.30%	0
blm-1-single-c5-w26-3d6_S126_	g	280075	241900	17.60%	0.50%	2.30%	30	14.70%	51.00%	147	>=2	0.00%	0.40%	0
blm-1-single-c5-w29-3d6_S129_	p	2357	2156	15.30%	0.00%	0.00%	0	43.50%	37.00%	150	NA	0.00%	0.00%	0
blm-1-single-c5-w30-3d6_S130_	g	282675	251372	15.90%	0.50%	7.90%	28	5.70%	52.00%	138	NA	0.00%	0.70%	0
blm-1-single-c5-w31-3d6_S131_	g	408837	353484	18.60%	0.70%	3.90%	43	20.50%	50.00%	148	NA	0.00%	0.70%	0.372042
blm-1-single-c5-w32-3d6_S132_	p	1607712	1438976	20.30%	2.80%	11.50%	184	61.20%	49.00%	147	NA	0.00%	3.20%	0.13659
blm-1-single-c5-w33-3d6_S133_	p	309268	272422	16.10%	0.50%	18.80%	29	34.20%	51.00%	148	NA	0.00%	0.40%	0
blm-1-single-c5-w3-3d6_S103_	p	755845	658992	24.40%	1.20%	50.00%	74	95.80%	50.00%	147	>=2	0.00%	1.00%	0
blm-1-single-c5-w34-3d6_S134_	g	414660	365352	15.70%	0.70%	2.00%	47	11.10%	50.00%	147	NA	0.00%	1.00%	0
blm-1-single-c5-w35-3d6_S135_	p	303348	266402	17.50%	0.50%	9.40%	30	19.50%	50.00%	148	>=2	0.00%	0.80%	0
blm-1-single-c5-w36-3d6_S136_	g	714924	636220	15.60%	1.30%	1.60%	83	10.20%	49.00%	147	0.44	0.00%	1.50%	0.103403
blm-1-single-c5-w38-3d6_S138_	g	213033	184830	12.90%	0.40%	2.40%	25	0.00%	50.00%	147	NA	0.00%	0.50%	0
