seqnames	start	end	width	gene	Reads	Background	ReadsPerMb	Library
chr2	98083898	98227302	143405	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr6	31539710	31558668	18959	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr6	31775145	31957094	181950	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr8	70669071	70710408	41338	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr9	68331294	68503929	172636	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr10	44959339	46055903	1096565	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr10	46555061	47194802	639742	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr12	112584984	112606870	21887	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr15	60827652	60827940	289	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr15	89270207	89322334	52128	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr19	2766040	2804512	38473	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr21	14898081	14939685	41605	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr22	23266494	23283241	16748	BLM	333782	2.60%	41	blm-1-single-c5-w11-3d6_S111_
chr2	106381133	106489192	108060	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr3	41161397	41265343	103947	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr5	91099413	91123546	24134	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr6	158475141	158480868	5728	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr6	158568769	158638555	69787	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr7	36921423	36972554	51132	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr8	77300642	77381246	80605	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr9	130778703	130778856	154	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr10	43546453	43570152	23700	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr11	8166111	8219477	53367	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr12	109803537	109820296	16760	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr15	60581715	60611230	29516	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr15	89225545	89251995	26451	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr18	31058102	31310280	252179	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr20	19768641	19803424	34784	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr21	15692609	15758711	66103	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr22	23276622	23306873	30252	BLM	298630	10.70%	38	blm-1-single-c5-w16-3d6_S116_
chr1	97318529	97448130	129602	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr2	233229572	233246218	16647	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr5	149911830	149926953	15124	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr6	6710441	6753148	42708	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr6	7582042	8200815	618774	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr8	95885268	95950426	65159	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr9	68975232	69844747	869516	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr10	76693025	76765413	72389	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr11	125077164	125110390	33227	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr13	22830648	22859756	29109	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr15	60800702	60899046	98345	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr21	15888664	15972931	84268	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chrX	142059048	142101508	42461	BLM	287728	3.70%	35	blm-1-single-c5-w18-3d6_S118_
chr3	143068078	143090159	22082	BLM	364070	2.40%	43	blm-1-single-c5-w19-3d6_S119_
chr4	42023962	42055398	31437	BLM	364070	2.40%	43	blm-1-single-c5-w19-3d6_S119_
chr8	75585312	76082986	497675	BLM	364070	2.40%	43	blm-1-single-c5-w19-3d6_S119_
chr8	77436345	77828329	391985	BLM	364070	2.40%	43	blm-1-single-c5-w19-3d6_S119_
chr11	107466855	107482134	15280	BLM	364070	2.40%	43	blm-1-single-c5-w19-3d6_S119_
chr15	47497144	47509040	11897	BLM	364070	2.40%	43	blm-1-single-c5-w19-3d6_S119_
chr21	15346044	15782759	436716	BLM	364070	2.40%	43	blm-1-single-c5-w19-3d6_S119_
chr5	173714472	173740990	26519	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr8	129374735	129397734	23000	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
