seqnames	start	end	width	gene	Reads	Background	Reads_per_Mb	Library
chr2	227447864	227481644	33781	BLM/RECQL5	283760	2.1%	38	blm_recq5-1-single-c14-w19_
chr4	21549530	21615407	65878	BLM/RECQL5	283760	2.1%	38	blm_recq5-1-single-c14-w19_
chr9	67538324	68986259	1447936	BLM/RECQL5	283760	2.1%	38	blm_recq5-1-single-c14-w19_
chr12	111375076	111382542	7467	BLM/RECQL5	283760	2.1%	38	blm_recq5-1-single-c14-w19_
chr13	105527752	105565857	38106	BLM/RECQL5	283760	2.1%	38	blm_recq5-1-single-c14-w19_
chrX	37537739	37585801	48063	BLM/RECQL5	283760	2.1%	38	blm_recq5-1-single-c14-w19_
chr1	15716370	15765574	49205	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr2	207866829	207958598	91770	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr3	147646671	147792023	145353	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr5	129370994	129628104	257111	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr6	43521143	43540233	19091	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr7	32984528	33002723	18196	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr8	110489006	110665683	176678	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr9	111142778	111269667	126890	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr9	130770327	130810095	39769	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr11	89468060	89716201	248142	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr13	43220692	43279078	58387	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr14	55971364	56106683	135320	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr15	93825928	93971443	145516	BLM/RECQL5	170538	2.1%	23	blm_recq5-1-single-c14-w38_
chr16	65331784	65358940	27157	BLM/RECQL5	49642	13.1%	6	blm_recq5-1-single-c14-w39_
chr20	22944234	23257692	313459	BLM/RECQL5	49642	13.1%	6	blm_recq5-1-single-c14-w39_
chr3	173602271	173786878	184608	BLM/RECQL5	180510	2.3%	24	blm_recq5-1-single-c14-w9_
chr7	70266055	70419484	153430	BLM/RECQL5	180510	2.3%	24	blm_recq5-1-single-c14-w9_
chr9	67900972	68826611	925640	BLM/RECQL5	180510	2.3%	24	blm_recq5-1-single-c14-w9_
chr16	29378323	29647268	268946	BLM/RECQL5	180510	2.3%	24	blm_recq5-1-single-c14-w9_
chr3	47813381	47933158	119778	BLM/RECQL5	307500	2.7%	31	blm_recq5-2-single-c15-w15_
chr5	56086424	56243299	156876	BLM/RECQL5	307500	2.7%	31	blm_recq5-2-single-c15-w15_
chr7	73593946	73613803	19858	BLM/RECQL5	307500	2.7%	31	blm_recq5-2-single-c15-w15_
chr8	80286064	80286570	507	BLM/RECQL5	307500	2.7%	31	blm_recq5-2-single-c15-w15_
chr9	67534593	68896605	1362013	BLM/RECQL5	307500	2.7%	31	blm_recq5-2-single-c15-w15_
chr1	115373149	118106412	2733264	BLM/RECQL5	119738	1.6%	13	blm_recq5-2-single-c15-w17_
chr4	157481040	157782165	301126	BLM/RECQL5	119738	1.6%	13	blm_recq5-2-single-c15-w17_
chr5	115632823	115652046	19224	BLM/RECQL5	119738	1.6%	13	blm_recq5-2-single-c15-w17_
chr7	108220239	108296982	76744	BLM/RECQL5	119738	1.6%	13	blm_recq5-2-single-c15-w17_
chrX	39122627	39167115	44489	BLM/RECQL5	119738	1.6%	13	blm_recq5-2-single-c15-w17_
chr2	139820956	139857296	36341	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr2	183369634	183378716	9083	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr3	28966422	29013859	47438	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr3	41195029	41228504	33476	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr3	76690455	76712401	21947	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr4	66375826	66413622	37797	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr4	123612785	123641343	28559	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr4	144467813	144550257	82445	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr5	150249931	150277556	27626	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr5	161403209	161516414	113206	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr6	148823375	148837902	14528	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr7	137634620	137660185	25566	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr8	138509829	138551993	42165	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr10	42366871	42398179	31309	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr10	91688548	91764342	75795	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr12	6161509	6260116	98608	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr12	54520952	54527908	6957	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr12	81246226	81315670	69445	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr13	32429146	32463700	34555	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr14	34057429	34071635	14207	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr14	42021385	42083835	62451	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr16	67322498	67331338	8841	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr17	36626063	36632791	6729	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr18	46294032	46344268	50237	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr19	44393022	44434028	41007	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr19	48659676	48751123	91448	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr20	9656092	9703439	47348	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr21	15472380	15485897	13518	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chr22	23250779	23333597	82819	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chrX	70373497	70436729	63233	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
chrX	127889141	127909681	20541	BLM/RECQL5	468998	2.0%	46	blm_recq5-2-single-c15-w21_
