seqnames start end width gene Reads Background ReadsPerMb Library
chr1 43710658 43713039 2382 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr2 32865807 33273483 407677 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr2 33295634 33327094 31461 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr8 83400695 83406476 5782 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr10 108298657 108299739 1083 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr11 1657282 1897690 240409 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr11 2057148 2346017 288870 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr12 40748417 40754293 5877 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr14 95890364 95895911 5548 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr15 60800709 60811825 11117 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr15 72644828 72671535 26708 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr15 74100239 74111970 11732 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr15 89345381 89349583 4203 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr16 21565377 21569369 3993 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr16 22699091 22699369 279 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr22 20899695 21174148 274454 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr22 21609863 22095534 485672 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chrX 103946201 103990470 44270 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chrX 104050382 104085337 34956 BLM 4079186 0.8% 463 fucci_blm_c14_w13_single_3e8_S232_
chr1 26899174 26915419 16246 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr6 70722562 70763923 41362 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr6 158358507 158365052 6546 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr8 129680337 129682855 2519 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr8 129750860 129752889 2030 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr10 58613623 58656212 42590 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr12 17550862 17591182 40321 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr12 17911100 17966963 55864 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr13 34869748 34880759 11012 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr15 72691198 72695570 4373 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr15 74055086 74056062 977 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr16 21286379 21487844 201466 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr16 22692341 22980280 287940 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr19 24410366 24906294 495929 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chrX 20521018 20526077 5060 BLM 811780 1.6% 118 fucci_blm_c14_w15_single_3e8_S233_
chr1 168721415 168746430 25016 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr4 149188647 149193364 4718 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr11 76133278 76135291 2014 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr14 47804181 47823378 19198 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr15 60762880 60827026 64147 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr15 72614736 72622389 7654 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr15 74105886 74109920 4035 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr15 89347175 89393667 46493 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr16 21307387 21537381 229995 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr16 22688789 22749389 60601 BLM 1073978 1.0% 151 fucci_blm_c14_w21_single_3e8_S236_
chr6 67239767 67399372 159606 BLM 107868 3.3% 17 fucci_blm_c14_w29_single_3e8_S240_
chr8 125873844 126007706 133863 BLM 107868 3.3% 17 fucci_blm_c14_w29_single_3e8_S240_
chr9 127163926 127287255 123330 BLM 107868 3.3% 17 fucci_blm_c14_w29_single_3e8_S240_
